Player,Years,Seasons,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Adonis Thomas,1.0,2014 - 2014,SF,6,6.17,1.0,2.33,42.91845493562232,0.17,0.83,20.481927710843376,0.83,1.5,55.333333333333336,46.56652360515021,0.17,0.17,100.0,0.0,0.5,0.5,0.5,0.0,0.0,0.17,1.0,2.33
Adreian Payne,4.0,2015 - 2018,PF,107,13.11,1.63,4.01,40.64837905236908,0.14,0.55,25.454545454545457,1.49,3.46,43.0635838150289,42.394014962593516,0.62,0.91,68.13186813186813,0.74,2.21,2.94,0.62,0.42,0.25,0.84,1.9,4.01
Adrian Griffin,9.0,2000 - 2008,SG,477,16.77,1.65,3.76,43.88297872340425,0.1,0.38,26.31578947368421,1.54,3.38,45.562130177514796,45.21276595744681,0.63,0.82,76.82926829268293,1.06,2.11,3.17,1.37,0.91,0.12,0.69,1.84,4.02
Al Harrington,15.0,2000 - 2014,PF,960,29.01,5.22,11.73,44.50127877237851,1.02,2.89,35.29411764705882,4.2,8.84,47.51131221719457,48.849104859335036,2.29,3.14,72.92993630573248,1.54,4.13,5.67,1.71,0.89,0.25,1.9,3.17,13.74
Al Horford,12.0,2008 - 2019,C,786,32.81,5.95,11.33,52.515445719329215,0.46,1.26,36.50793650793651,5.49,10.06,54.57256461232605,54.545454545454554,1.74,2.31,75.32467532467533,2.16,6.24,8.39,3.24,0.81,1.2,1.61,2.29,14.11
Al Jefferson,14.0,2005 - 2018,C,915,28.74,6.73,13.49,49.88880652335063,0.01,0.07,14.285714285714285,6.72,13.42,50.07451564828613,49.92587101556708,2.2,3.1,70.96774193548387,2.24,6.16,8.4,1.47,0.69,1.19,1.32,2.57,15.68
Al Thornton,4.0,2008 - 2011,SF,296,27.95,4.62,10.23,45.16129032258064,0.26,0.9,28.888888888888893,4.36,9.33,46.730975348338696,46.43206256109482,2.41,3.22,74.84472049689441,1.32,2.84,4.17,1.19,0.62,0.51,1.43,2.6,11.92
Al-Farouq Aminu,9.0,2011 - 2019,SF,670,25.2,2.81,6.65,42.25563909774436,0.79,2.33,33.90557939914164,2.03,4.32,46.99074074074073,48.19548872180451,1.3,1.75,74.28571428571429,1.4,4.7,6.09,1.23,0.96,0.57,1.22,1.86,7.72
Alan Anderson,8.0,2006 - 2017,SF,330,20.58,2.55,6.32,40.34810126582278,1.0,2.92,34.24657534246575,1.55,3.4,45.58823529411765,48.25949367088607,1.22,1.5,81.33333333333333,0.46,1.71,2.16,1.12,0.55,0.09,0.88,1.82,7.34
Alan Henderson,8.0,2000 - 2007,PF,436,20.0,2.65,5.6,47.32142857142858,0.0,0.04,0.0,2.64,5.57,47.3967684021544,47.32142857142858,1.42,2.22,63.963963963963955,2.1,2.68,4.78,0.51,0.51,0.44,0.99,2.01,6.72
Alan Williams,4.0,2016 - 2019,PF,67,13.01,2.43,4.81,50.51975051975053,0.0,0.03,0.0,2.43,4.78,50.836820083682014,50.51975051975053,1.3,2.07,62.801932367149774,1.72,3.82,5.54,0.58,0.55,0.57,0.76,2.31,6.16
