College,Total Players,Total Prized Players,Year/PLR,Total Awards,ScaledRating,College Grade
"North Carolina State University, University of Georgia",1,0,10.0,0.0,0.0,2.0
"University of California, California State University, Fresno",2,0,5.0,0.0,0.0,2.0
West Virginia University,5,0,2.0,0.0,0.0,2.0
"Auburn University, Georgia Institute of Technology",1,0,10.0,0.0,0.0,2.0
Southern University and A&M College,1,1,9.0,1.0,0.12,1.896
"Iowa State University, Syracuse University",1,0,9.0,0.0,0.0,1.8
Harvard University,1,0,9.0,0.0,0.0,1.8
"Auburn University, University of West Florida",1,0,9.0,0.0,0.0,1.8
Florida Agricultural and Mechanical University,1,0,9.0,0.0,0.0,1.8
Norfolk State University,2,0,4.5,0.0,0.0,1.8
Florida International University,1,0,9.0,0.0,0.0,1.8
Fordham University,2,0,4.5,0.0,0.0,1.8
"University of South Carolina, University of Oklahoma",1,0,9.0,0.0,0.0,1.8
"Wichita State University, University of Texas at Austin",1,0,9.0,0.0,0.0,1.8
"University of Arkansas at Little Rock, Tennessee State University",1,0,8.0,0.0,0.0,1.6
"University of Arizona, Georgia Institute of Technology",1,0,8.0,0.0,0.0,1.6
"University of Maryland, University of Arizona",1,0,8.0,0.0,0.0,1.6
"Santa Clara University, University of California",1,0,8.0,0.0,0.0,1.6
Morehead State University,1,0,8.0,0.0,0.0,1.6
Drake University,2,0,4.0,0.0,0.0,1.6
Rider University,1,0,8.0,0.0,0.0,1.6
"Baylor University, Oklahoma State University",1,0,8.0,0.0,0.0,1.6
"Jacksonville University, University of Houston",1,0,8.0,0.0,0.0,1.6
"Auburn University, Florida State University",1,0,8.0,0.0,0.0,1.6
"Southern Illinois University, University of Georgia, Pfeiffer University",1,0,8.0,0.0,0.0,1.6
Southern Illinois University,2,0,4.0,0.0,0.0,1.6
"Winston-Salem State University, Oral Roberts University",1,0,8.0,0.0,0.0,1.6
"Meridian Community College, Shaw University",1,0,8.0,0.0,0.0,1.6
Valparaiso University,3,0,2.6666666666666665,0.0,0.0,1.6
"Indiana University, Ohio State University",1,0,7.0,0.0,0.0,1.4
Centenary College of Louisiana,1,0,7.0,0.0,0.0,1.4
"Northwestern University, University of Kansas",1,0,7.0,0.0,0.0,1.4
"Midland College, Colorado State University",1,0,7.0,0.0,0.0,1.4
Canisius College,1,0,7.0,0.0,0.0,1.4
Virginia Military Institute,1,0,7.0,0.0,0.0,1.4
Stetson University,1,0,7.0,0.0,0.0,1.4
"Purdue University, University of Kentucky",1,0,7.0,0.0,0.0,1.4
"Western Carolina University, University of Georgia",1,0,7.0,0.0,0.0,1.4
"Virginia Commonwealth University, Temple University",1,0,7.0,0.0,0.0,1.4
"Iowa State University, Tyler Junior College, University of Houston",1,0,7.0,0.0,0.0,1.4
"University of Michigan, Baylor University",1,0,7.0,0.0,0.0,1.4
"University of San Francisco, Portland State University",1,0,7.0,0.0,0.0,1.4
"South Plains College, St. Mary's University",1,0,7.0,0.0,0.0,1.4
University of Alabama at Birmingham,5,0,1.4,0.0,0.0,1.4
University of Wisconsin-Green Bay,4,0,1.75,0.0,0.0,1.4
"University of California, Irvine, University of Arizona",1,0,7.0,0.0,0.0,1.4
Illinois State University,2,0,3.5,0.0,0.0,1.4
"Cleveland State University, Bradley University",1,0,7.0,0.0,0.0,1.4
"La Salle University, Towson University",1,0,7.0,0.0,0.0,1.4
Lehigh University,1,1,6.0,1.0,0.08,1.264
Trenton State University,1,0,6.0,0.0,0.0,1.2
"Butler County Community College, Texas Christian University",1,0,6.0,0.0,0.0,1.2
Delaware State University,1,0,6.0,0.0,0.0,1.2
Gardner-Webb University,1,0,6.0,0.0,0.0,1.2
"Clemson University, Florida State University",1,0,6.0,0.0,0.0,1.2
"University of Wisconsin, Ohio State University",1,0,6.0,0.0,0.0,1.2
"University of Washington, Gonzaga University",1,0,6.0,0.0,0.0,1.2
"University of Washington, University of Kentucky",1,0,6.0,0.0,0.0,1.2
"Wake Forest University, University of Arizona",1,0,6.0,0.0,0.0,1.2
"Indiana University, Xavier University",1,0,6.0,0.0,0.0,1.2
"Vanderbilt University, University of Pennsylvania",1,0,6.0,0.0,0.0,1.2
University of North Carolina at Wilmington,2,0,3.0,0.0,0.0,1.2
"Southern Methodist University, Lamar University",1,0,6.0,0.0,0.0,1.2
Belmont University,1,0,6.0,0.0,0.0,1.2
Georgia State University,2,0,3.0,0.0,0.0,1.2
Idaho State University,2,0,3.0,0.0,0.0,1.2
Barton County Community College,2,0,3.0,0.0,0.0,1.2
"University of Houston, Western Michigan University",1,0,6.0,0.0,0.0,1.2
"University of Michigan, San Jose State University",1,0,6.0,0.0,0.0,1.2
"University of Arizona, California State University, Fullerton",1,0,6.0,0.0,0.0,1.2
Bucknell University,1,0,6.0,0.0,0.0,1.2
"University of Maine, University of Virginia",1,0,5.0,0.0,0.0,1.0
"University of California, Los Angeles, Loyola Marymount University",1,0,5.0,0.0,0.0,1.0
"Howard College, Texas Tech University",1,0,5.0,0.0,0.0,1.0
Meridian Community College,1,0,5.0,0.0,0.0,1.0
"Indiana State University, Saint Augustine's College",1,0,5.0,0.0,0.0,1.0
"University of Georgia, University of Nevada, Las Vegas",1,0,5.0,0.0,0.0,1.0
"University of Kentucky, Villanova University",1,0,5.0,0.0,0.0,1.0
"Liberty University, Duke University",1,0,5.0,0.0,0.0,1.0
"University of Minnesota, University of Wyoming",1,0,5.0,0.0,0.0,1.0
Jackson State University,3,0,1.6666666666666667,0.0,0.0,1.0
University of Central Oklahoma,1,0,5.0,0.0,0.0,1.0
"Indiana University, Georgia Institute of Technology",1,0,5.0,0.0,0.0,1.0
"Mississippi State University, Duke University",1,0,5.0,0.0,0.0,1.0
"University of North Carolina, University of California, Los Angeles",3,0,1.6666666666666667,0.0,0.0,1.0
Northwestern University,2,0,2.5,0.0,0.0,1.0
"Upsala College, Morehead State University",1,0,5.0,0.0,0.0,1.0
Coppin State University,1,0,5.0,0.0,0.0,1.0
"University of Tulsa, University of Missouri",1,0,5.0,0.0,0.0,1.0
"Hastings College, University of Nebraska at Kearney",1,0,5.0,0.0,0.0,1.0
Howard University,1,0,5.0,0.0,0.0,1.0
"University of Minnesota, University of Maryland",1,0,5.0,0.0,0.0,1.0
"Vanderbilt University, Pennsylvania State University",1,0,5.0,0.0,0.0,1.0
Mount San Antonio College,1,0,5.0,0.0,0.0,1.0
"Texas Christian University, St. John's University",1,0,5.0,0.0,0.0,1.0
"University of Kansas, University of Arizona",1,0,4.0,0.0,0.0,0.8
"Pepperdine University, San Diego State University",1,0,4.0,0.0,0.0,0.8
"Mississippi State University, University of Southern Mississippi",1,0,4.0,0.0,0.0,0.8
University of Tennessee at Martin,1,0,4.0,0.0,0.0,0.8
University of Louisiana at Monroe,2,0,2.0,0.0,0.0,0.8
"Austin Peay State University, Oral Roberts University",1,0,4.0,0.0,0.0,0.8
"Northern Illinois University, University of Illinois at Urbana-Champaign",1,0,4.0,0.0,0.0,0.8
"Duquesne University, University of Arizona",1,0,4.0,0.0,0.0,0.8
University of Missouri-Kansas City,1,0,4.0,0.0,0.0,0.8
Central Connecticut State University,2,0,2.0,0.0,0.0,0.8
"University of Kentucky, University of Southern California",2,0,2.0,0.0,0.0,0.8
"Texas A&M University, Oklahoma State University",1,0,4.0,0.0,0.0,0.8
Northeast Mississippi Community College,1,0,4.0,0.0,0.0,0.8
"Delta State University, University of Mississippi",1,0,4.0,0.0,0.0,0.8
"University of Memphis, University of Kansas",1,0,4.0,0.0,0.0,0.8
"University of California, Irvine, University of New Orleans",1,0,4.0,0.0,0.0,0.8
University of South Carolina Upstate,2,0,2.0,0.0,0.0,0.8
Western Michigan University,2,0,2.0,0.0,0.0,0.8
San Jose State University,2,0,2.0,0.0,0.0,0.8
Lamar University,3,0,1.3333333333333333,0.0,0.0,0.8
Boston University,2,0,2.0,0.0,0.0,0.8
"University of North Carolina, University of Louisville",1,0,4.0,0.0,0.0,0.8
Okaloosa-Walton Community College,1,0,4.0,0.0,0.0,0.8
"Duke University, University of Memphis",1,0,4.0,0.0,0.0,0.8
