ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
drewjo01,1982,John Drew,SF,27,ATL,2,,59,8,22,.364,0,0,,8,22,.364,.364,7,12,.583,6,4,10,1,0,0,5,11,23
dunlemi01,1982,Mike Dunleavy,SG,27,HOU,3,,66,9,22,.409,0,4,.000,9,18,.500,.409,5,6,.833,0,3,3,9,2,0,1,7,23
dunntr01,1982,T.R. Dunn,SG,26,DEN,3,,81,6,13,.462,0,0,,6,13,.462,.462,7,8,.875,10,8,18,10,8,1,5,11,19
dykemcr01,1982,Craig Dykema,SF,22,PHO,6,,12,1,6,.167,0,0,,1,6,.167,.167,0,0,,0,4,4,1,0,0,1,2,2
edwarfr01,1982,Franklin Edwards,PG,22,PHI,9,,32,12,20,.600,1,1,1.000,11,19,.579,.625,8,9,.889,2,3,5,5,3,0,2,0,33
elmorle01,1982,Len Elmore,C,29,NJN,2,,76,9,16,.563,0,0,,9,16,.563,.563,4,4,1.000,1,15,16,2,1,2,2,4,22
englial01,1982,Alex English,SF,28,DEN,3,,118,26,55,.473,0,0,,26,55,.473,.473,6,7,.857,8,15,23,17,3,3,4,6,58
ervinju01,1982,Julius Erving,SF,31,PHI,21,,780,168,324,.519,1,6,.167,167,318,.525,.520,124,165,.752,57,99,156,99,37,37,67,55,461
fernser01,1982,Eric Fernsten,C,28,BOS,5,,11,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,2,0,2,0,0,1,0,0,3
fordch01,1982,Chris Ford,SG,33,BOS,12,,138,20,42,.476,2,7,.286,18,35,.514,.500,5,7,.714,6,9,15,15,3,1,3,15,47
garreca01,1982,Calvin Garrett,SF,25,HOU,1,,1,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0
gervige01,1982,George Gervin,SG,29,SAS,9,,373,103,228,.452,0,3,.000,103,225,.458,.452,59,71,.831,19,47,66,41,10,4,31,36,265
glennmi01,1982,Mike Glenn,SG,26,ATL,2,,35,5,7,.714,0,0,,5,7,.714,.714,2,2,1.000,0,1,1,2,3,0,2,3,12
gminsmi01,1982,Mike Gminski,C,22,NJN,1,,10,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,0,2,2,0,0,0,0,2,5
gondrgl01,1982,Glen Gondrezick,SF,26,DEN,3,,51,8,20,.400,0,1,.000,8,19,.421,.400,2,3,.667,3,5,8,9,2,1,0,8,18
greveke01,1982,Kevin Grevey,SG,28,WSB,7,,159,23,56,.411,4,8,.500,19,48,.396,.446,16,19,.842,2,8,10,11,3,1,6,12,66
hanzlbi01,1982,Bill Hanzlik,SF,24,SEA,8,,203,16,34,.471,0,1,.000,16,33,.485,.471,20,22,.909,10,22,32,20,6,5,13,26,52
hawesst01,1982,Steve Hawes,PF,31,ATL,1,,12,2,5,.400,0,0,,2,5,.400,.400,3,4,.750,3,2,5,0,0,0,0,1,7
hayesel01,1982,Elvin Hayes,PF,36,HOU,3,,124,17,50,.340,0,0,,17,50,.340,.340,8,15,.533,7,23,30,3,2,10,6,12,42
haywosp01,1982,Spencer Haywood,PF,32,WSB,7,,231,57,115,.496,0,0,,57,115,.496,.496,26,35,.743,16,23,39,7,4,14,15,28,140
hendege01,1982,Gerald Henderson,PG,26,BOS,12,,310,38,93,.409,0,2,.000,38,91,.418,.409,24,35,.686,12,13,25,48,14,2,25,30,100
hendeto01,1982,Tom Henderson,SG,30,HOU,3,,68,5,16,.313,0,0,,5,16,.313,.313,4,4,1.000,5,3,8,9,0,0,4,5,14
higgske01,1982,Kenny Higgs,PG,27,DEN,3,,54,8,21,.381,0,2,.000,8,19,.421,.381,7,12,.583,1,2,3,6,3,0,5,12,23
hollabr01,1982,Brad Holland,SG,25,MIL,1,,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,1,0,0,0,0,2
hollili01,1982,Lionel Hollins,PG,28,PHI,8,,114,15,49,.306,0,1,.000,15,48,.313,.306,4,6,.667,1,8,9,25,9,1,13,11,34
hordgce01,1982,Cedrick Hordges,PF,25,DEN,3,,45,8,19,.421,0,1,.000,8,18,.444,.421,3,4,.750,2,11,13,2,1,0,4,4,19
