ID,Player,Years,From,To,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,2P%,eFG%,Draft
15593,Zach LaVine,1.0,2014.0,2014.0,UCLA,37,24.432,3.432,7.784,44.09044193216855,1.297,3.4589999999999996,37.496386238797335,1.27,1.838,69.0968443960827,1.135,1.973,0.486,2.0540000000000003,2.541,1.784,0.892,0.162,9.432,49.36416184971099,52.421634121274394,13
3741,Damian Jones,3.0,2014.0,2016.0,VU,99,27.162,5.121,9.051,56.57938349353663,0.01,0.081,12.345679012345679,2.99,5.292999999999998,56.489703381825045,1.99,3.04,2.101,4.273,6.374,0.727,0.374,1.6869999999999998,13.242,56.97881828316611,56.634626008175886,30
3609,Rondae Hollis-Jefferson,2.0,2014.0,2015.0,U of A,76,26.974,3.408,6.867999999999999,49.621432731508435,0.105,0.513,20.46783625730994,3.263,4.684,69.66268146883006,1.355,2.447,2.1319999999999997,4.145,6.276,1.5,0.9470000000000001,0.9470000000000001,10.184,51.97482297403619,50.385847408270244,23
4071,Reggie Smith,2.0,2014.0,2015.0,EIU,57,25.789,3.123,7.93,39.38209331651953,1.035,3.3160000000000003,31.212303980699634,3.158,4.246,74.37588318417333,2.193,1.8419999999999999,0.281,2.351,2.6319999999999997,2.175,0.93,0.08800000000000001,10.439,45.25357607282186,45.9079445145019,31
17462,Noah Vonleh,1.0,2014.0,2014.0,IU,30,26.467,3.767,7.2,52.319444444444436,0.5329999999999999,1.1,48.45454545454545,3.2,4.467,71.63644504141482,2.133,2.7,2.367,6.6,8.967,0.6,0.867,1.367,11.267000000000001,53.016393442622956,56.02083333333333,9
21211,Jarell Martin,2.0,2014.0,2015.0,LSU,65,30.708000000000002,4.968999999999999,10.062000000000001,49.38382031405289,0.631,2.046,30.840664711632446,3.108,4.508,68.94409937888199,2.215,2.615,2.369,4.569,6.938,1.354,1.0,0.6920000000000001,13.677,54.11676646706586,52.51937984496124,25
5963,J.P. Tokoto,2.0,2014.0,2015.0,UNC,72,28.861,3.403,7.431,45.79464405867314,0.278,0.9440000000000001,29.44915254237289,1.681,2.986,56.29604822505024,2.069,2.542,1.75,3.944,5.694,3.708,1.5419999999999998,0.431,8.764,48.17326961615539,47.66518638137532,58
8448,Kay Felder,3.0,2014.0,2016.0,OU,101,35.881,5.485,12.870999999999999,42.61518141558543,1.416,4.109,34.46093940131419,5.0889999999999995,6.188,82.23981900452489,3.465,2.842,0.6629999999999999,3.653,4.317,7.8020000000000005,1.624,0.188,17.475,46.43916913946588,48.11591950897365,54
9851,Joel Embiid,1.0,2014.0,2014.0,KU,28,23.107,3.821,6.107,62.567545439659405,0.036000000000000004,0.179,20.111731843575413,3.5,5.107,68.53338554924613,2.3569999999999998,3.3569999999999998,2.3209999999999997,5.7860000000000005,8.107000000000001,1.357,0.893,2.571,11.179,63.84952766531715,62.862289176355,3
21336,Mike Scott,2.0,2014.0,2015.0,U of I,64,25.984,4.125,9.453,43.63694065376072,1.219,3.531,34.52279807419995,1.703,2.281,74.66023673827269,1.359,1.625,0.43799999999999994,2.359,2.7969999999999997,3.6719999999999997,1.0,0.141,11.172,49.07125970955759,50.0846292182376,43
7311,Marcus Thornton,2.0,2014.0,2015.0,UGA,65,27.491999999999997,3.5380000000000003,7.662000000000001,46.17593317671626,0.215,0.631,34.0729001584786,2.938,4.385,67.0011402508552,1.492,2.7230000000000003,1.985,4.677,6.662000000000001,0.738,0.631,1.2309999999999999,10.231,47.26212487555113,47.578961106760644,43
3970,Josh Hart,4.0,2014.0,2017.0,VILL,146,28.041,4.637,9.082,51.05703589517726,1.4180000000000001,3.6439999999999997,38.9132821075741,2.4659999999999997,3.425,72.00000000000001,1.3359999999999999,2.247,1.733,3.8360000000000003,5.568,1.8219999999999998,1.103,0.295,13.158,59.19455682236114,58.86368641268442,30
19112,Terry Rozier,2.0,2014.0,2015.0,U of L,73,26.836,4.205,10.315,40.76587493940863,1.151,3.4789999999999996,33.08421960333429,2.411,3.123,77.20140890169708,1.3840000000000001,1.589,0.973,3.3289999999999997,4.301,2.397,1.507,0.11,11.972999999999999,44.67524868344061,46.3451284537082,16
15820,Jabari Bird,3.0,2014.0,2017.0,Cal,91,25.989,3.9339999999999997,8.879,44.30679130532717,1.714,4.626,37.051448335495024,1.253,1.67,75.02994011976047,1.198,1.5930000000000002,0.747,2.5269999999999997,3.275,1.011,0.516,0.275,10.835,52.198448154244076,53.958779141795254,56
7074,Tony Parker,3.0,2014.0,2016.0,UCLA,103,22.116999999999997,4.107,7.388,55.59014618299947,0.0,0.0,,1.9609999999999999,3.7569999999999997,52.19590098482833,1.4469999999999998,3.194,2.553,3.806,6.359,0.38799999999999996,0.524,0.825,10.175,55.59014618299947,55.59014618299947,28
16950,Maurice Taylor,1.0,2014.0,2014.0,BCU,32,20.594,2.125,5.218999999999999,40.716612377850154,0.375,0.9690000000000001,38.69969040247678,3.031,4.093999999999999,74.03517342452369,1.375,2.156,1.031,2.75,3.781,0.562,0.406,0.25,7.6560000000000015,41.17647058823529,44.309254646484,14
20004,Monte Morris,4.0,2014.0,2017.0,ISU,140,33.814,4.543,9.543,47.60557476684482,1.0859999999999999,2.85,38.10526315789474,2.029,2.6,78.03846153846153,1.171,1.514,0.7709999999999999,2.9139999999999997,3.6860000000000004,5.4860000000000015,1.607,0.293,12.2,51.65097863439414,53.29560934716547,51
21291,Wesley Iwundu,4.0,2014.0,2017.0,KSU,132,28.241999999999997,3.22,6.947,46.350942853030084,0.386,1.1440000000000001,33.74125874125875,2.636,3.833,68.7711974954344,2.121,2.0980000000000003,1.1520000000000001,3.53,4.6819999999999995,2.773,0.917,0.39399999999999996,9.462,48.836808547303114,49.12912048366202,33
