ID,Player,Years,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PIR
jeffeal01,Al Jefferson,14.0,C,936,663.0,28.686,6.712,13.45,49.90334572490707,0.009,0.072,12.5,6.703,13.378,50.104649424428175,49.9368029739777,2.175,3.063,71.00881488736532,2.241,6.135,8.376,1.463,0.686,1.188,1.311,2.556,15.607,15.827
skinnal01,Al Skinner,1.0,SG,2,0.0,5.0,0.5,1.0,50.0,0.0,0.0,,0.5,1.0,50.0,50.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0
thornal01,Al Thornton,4.0,SF,296,167.0,27.953,4.622,10.233,45.16759503566891,0.264,0.899,29.36596218020022,4.358,9.334,46.68952217698736,46.45753933352877,2.409,3.223,74.74402730375427,1.324,2.841,4.166,1.193,0.625,0.514,1.432,2.605,11.916,7.949
woodal01,Al Wood,6.0,SG,422,246.0,23.924,4.754,10.213,46.548516596494665,0.095,0.453,20.97130242825607,4.659,9.761,47.73076529044155,47.01361010476843,2.156,2.737,78.77237851662404,1.104,1.967,3.071,1.782,0.737,0.379,1.365,2.275,11.758,8.047
aminual01,Al-Farouq Aminu,9.0,SF,694,446.0,25.432,2.885,6.778,42.5641782236648,0.837,2.434,34.38783894823336,2.048,4.344,47.14548802946592,48.73856594865742,1.324,1.774,74.63359639233371,1.427,4.735,6.161,1.242,0.96,0.582,1.239,1.886,7.931,9.408
abdelal01,Alaa Abdelnaby,5.0,PF,273,57.0,12.11,2.337,4.674,50.0,0.0,0.011,0.0,2.337,4.663,50.11794981771393,50.0,0.832,1.19,69.91596638655462,1.048,2.125,3.172,0.322,0.26,0.256,0.945,1.813,5.505,4.062
anderal01,Alan Anderson,8.0,SF,348,68.0,20.678,2.566,6.284,40.83386378103119,1.006,2.902,34.6657477601654,1.56,3.382,46.12655233589592,48.83831954169319,1.213,1.5,80.86666666666667,0.468,1.736,2.204,1.129,0.563,0.092,0.885,1.848,7.351,4.601
hardyal01,Alan Hardy,2.0,SG,60,0.0,7.017,1.4,3.25,43.07692307692307,0.0,0.083,0.0,1.4,3.167,44.20587306599305,43.07692307692307,0.417,0.65,64.15384615384615,0.367,0.517,0.883,0.383,0.167,0.217,0.517,0.75,3.217,1.517
hendeal01,Alan Henderson,12.0,PF,688,224.0,20.773,2.974,6.312,47.11660329531052,0.007,0.039,17.94871794871795,2.967,6.273,47.29794356767098,47.17205323193916,1.711,2.666,64.17854463615905,2.145,2.724,4.869,0.593,0.539,0.446,1.077,2.198,7.666,6.545
oggal01,Alan Ogg,3.0,C,83,1.0,8.096,0.916,1.867,49.062667380824855,0.0,0.024,0.0,0.916,1.843,49.70157352143245,49.062667380824855,0.313,0.554,56.49819494584837,0.578,1.036,1.614,0.157,0.157,0.735,0.361,1.627,2.145,1.627
willial03,Alan Williams,4.0,PF,67,0.0,13.015,2.433,4.806,50.62421972534331,0.0,0.03,0.0,2.433,4.776,50.942211055276374,50.62421972534331,1.299,2.075,62.602409638554214,1.716,3.821,5.537,0.582,0.552,0.567,0.761,2.313,6.164,7.179
tuckeal02,Alando Tucker,3.0,SF,51,1.0,8.353,1.51,3.569,42.30876996357523,0.196,0.667,29.38530734632684,1.314,2.902,45.27911784975879,45.054637153264224,0.922,1.176,78.4013605442177,0.569,0.392,0.961,0.314,0.098,0.039,0.373,0.431,4.137,2.431
kingal01,Albert King,9.0,SF,555,332.0,24.252,5.124,11.123,46.0667086217747,0.106,0.393,26.972010178117046,5.018,10.73,46.76607642124883,46.543198777308284,1.892,2.402,78.7676935886761,1.449,2.825,4.274,2.198,0.861,0.368,2.159,3.05,12.247,8.231
burksal01,Alec Burks,8.0,SG,442,67.0,20.894,3.285,7.778,42.23450758549756,0.674,1.889,35.68025410269984,2.611,5.889,44.33689930378672,46.56724093597327,2.251,2.912,77.30082417582418,0.59,2.439,3.029,1.695,0.602,0.172,1.24,1.701,9.495,6.898
kesslal01,Alec Kessler,4.0,PF,212,24.0,13.91,2.005,4.717,42.50582997668009,0.047,0.113,41.5929203539823,1.958,4.604,42.52823631624674,43.00402798388806,1.066,1.429,74.59762071378586,1.217,2.33,3.547,0.382,0.184,0.335,0.91,2.132,5.123,3.453
