Player,Height,Weight,Pos,School/Team,Class,ID,Years,From,To,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,2P%,eFG%,PIR,Draft
Mfiondu Kabengele,208.28,255,PF/C,Florida St.,So.,11396.0,1.0,2019.0,2019.0,FSU,37.0,21.568,4.4319999999999995,8.838,50.14709210228561,0.649,1.757,36.937962435970405,3.7030000000000003,4.865,76.11510791366904,1.297,2.595,2.135,3.8110000000000004,5.9460000000000015,0.297,0.568,1.514,13.216,53.4246575342466,53.81873727087578,12.081000000000001,11
Jarrett Culver,198.12,195,SG,Texas Tech,So.,21597.0,2.0,2018.0,2019.0,TTU,75.0,29.493000000000002,5.32,11.6,45.86206896551725,1.3869999999999998,4.067,34.1037619867224,2.8930000000000002,4.213,68.66840731070496,2.133,2.0,1.24,4.36,5.6,2.787,1.307,0.64,14.92,52.21027479091996,51.84051724137932,13.520999999999997,12
Cam Reddish,203.2,210,SG/SF,Duke,Fr.,10007.0,1.0,2019.0,2019.0,DUKE,36.0,29.69400000000001,4.2780000000000005,12.0,35.65,2.472,7.4170000000000025,33.32883915329648,2.444,3.167,77.17082412377646,2.667,2.3890000000000002,0.556,3.139,3.694,1.944,1.556,0.583,13.472000000000001,39.4065022910757,45.95,7.7479999999999976,13
Sekou Doumbouya,205.74,230,SF/PF,Limoges CSP,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Keldon Johnson,198.12,215,SG/SF,Kentucky,Fr.,11187.0,1.0,2019.0,2019.0,UK,37.0,30.70300000000001,4.649,10.081,46.11645670072414,1.216,3.1889999999999996,38.13107557227971,2.946,4.189,70.32704702793029,1.6219999999999999,2.2430000000000003,1.324,4.541,5.865,1.649,0.757,0.162,13.459000000000001,49.811375507835166,52.14760440432497,11.352000000000004,15
Kezie Okpala,203.2,210,SG/SF,Stanford,So.,16886.0,1.0,2019.0,2019.0,SU,29.0,32.724000000000004,5.862,12.655,46.321612011062825,1.103,3.0,36.766666666666666,4.0,5.966,67.04659738518272,2.862,2.517,1.172,4.5169999999999995,5.69,2.0,1.0,0.517,16.828,49.290523045054385,50.67957329118925,11.897,16
Jaxson Hayes,210.82,220,PF/C,Texas,Fr.,19284.0,1.0,2019.0,2019.0,UT,32.0,23.344,3.844,5.2810000000000015,72.78924446127627,0.0,0.0,,2.312,3.125,73.984,0.9059999999999999,3.344,1.75,3.25,5.0,0.281,0.594,2.219,10.0,72.78924446127627,72.78924446127627,11.594,17
Goga Bitadze,210.82,250,C,Mega Bemax,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Nicolas Claxton,210.82,215,PF,Georgia,So.,7294.0,1.0,2019.0,2019.0,UGA,32.0,31.594,4.2810000000000015,9.312000000000001,45.9729381443299,0.562,2.0,28.1,3.844,6.0,64.06666666666666,2.094,2.812,2.25,6.312,8.562000000000001,1.8119999999999998,1.062,2.531,12.969000000000001,50.86159737417943,48.99054982817869,14.843000000000005,19
Brandon Clarke,203.2,210,PF/C,Gonzaga,Jr.,16022.0,3.0,2016.0,2019.0,SJSU,98.0,27.805999999999997,5.968999999999999,9.347000000000001,63.8600620519953,0.061,0.245,24.897959183673468,2.48,4.01,61.845386533665845,1.469,2.153,2.735,4.939,7.672999999999999,1.8780000000000001,1.02,2.327,14.48,64.90881125027467,64.18636995827539,18.848,20
Daniel Gafford,208.28,240,PF/C,Arkansas,So.,13967.0,2.0,2018.0,2019.0,U of A,67.0,25.493000000000002,5.642,8.881,63.528881882670866,0.0,0.0,,2.97,5.284,56.20741862225588,1.6869999999999998,3.015,2.4930000000000003,4.8660000000000005,7.358,0.701,0.716,2.075,14.254000000000001,63.528881882670866,63.528881882670866,14.849000000000004,21
P.J. Washington,203.2,230,PF,Kentucky,So.,20297.0,2.0,2018.0,2019.0,UK,72.0,28.278000000000002,4.513999999999999,8.667,52.082612207222795,0.528,1.375,38.4,3.389,5.3610000000000015,63.215817944413345,1.944,2.583,2.056,4.542,6.597,1.6669999999999998,0.8059999999999999,1.028,12.944,54.66264399341746,55.128648898119316,12.389999999999995,22
Romeo Langford,198.12,210,SG,Indiana,Fr.,2358.0,1.0,2019.0,2019.0,IU,32.0,34.094,5.5310000000000015,12.344000000000001,44.807193778353856,1.062,3.906,27.18894009216589,4.375,6.062,72.17090069284065,2.125,1.875,1.406,3.969,5.375,2.344,0.7809999999999999,0.812,16.5,52.96278739037686,49.108878807517826,13.312000000000001,23
Dylan Windler,200.66,195,SG/SF,Belmont,Sr.,8225.0,3.0,2017.0,2019.0,BEL,96.0,33.01,5.6670000000000025,10.385,54.56909003370245,2.146,5.083,42.21916191225654,2.6460000000000004,3.417,77.43634767339772,1.844,2.458,1.75,7.135,8.885,2.312,1.125,0.823,16.125,66.4089023010185,64.90129995185364,19.479000000000003,24
Bol Bol,218.44,210,C,Oregon,Fr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Tyler Herro,198.12,195,SG,Kentucky,Fr.,19652.0,1.0,2019.0,2019.0,UK,37.0,32.622,5.027,10.892000000000001,46.15313991920677,1.6219999999999999,4.5680000000000005,35.50788091068301,2.351,2.5140000000000002,93.51630867143992,1.6219999999999999,1.27,0.405,4.081,4.4860000000000015,2.4859999999999998,1.081,0.324,14.027000000000001,53.842504743833025,53.598971722365036,13.484000000000002,26
Matisse Thybulle,198.12,200,SG/SF,Washington,Sr.,20178.0,4.0,2016.0,2019.0,UW,135.0,29.326,3.267,7.607,42.94728539503089,1.415,3.9560000000000004,35.76845298281092,1.252,1.6,78.25,1.867,2.822,0.8740000000000001,2.193,3.0669999999999997,2.037,2.452,1.37,9.2,50.72582854012598,52.24792953858288,8.749000000000002,27
Chuma Okeke,203.2,235,SF/PF,Auburn,So.,11080.0,2.0,2018.0,2019.0,AU,72.0,25.541999999999998,3.611,7.5,48.14666666666667,1.236,3.181,38.8557057529079,1.4169999999999998,2.0140000000000002,70.35749751737836,1.278,1.903,2.431,3.917,6.347,1.5419999999999998,1.278,0.986,9.875,54.98958092150961,56.38666666666666,12.361,28
