ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PIR
grunfer01,1980,Ernie Grunfeld,SF,24,KCK,3,,32,5,9,0.556,0,0,,5,9,0.556,0.556,1,3,0.33299999999999996,1,0,1,0,1,0,0,3,11,4
hawesst01,1980,Steve Hawes,PF,29,ATL,5,,149,18,41,0.439,0,0,,18,41,0.439,0.439,16,18,0.889,13,22,35,12,9,1,8,22,52,54
hayesel01,1980,Elvin Hayes,PF,34,WSB,2,,92,16,41,0.39,0,0,,16,41,0.39,0.39,8,10,0.8,10,12,22,6,0,4,4,8,40,33
haywosp01,1980,Spencer Haywood,PF,30,LAL,11,,145,25,53,0.47200000000000003,0,1,0.0,25,52,0.48100000000000004,0.47200000000000003,13,16,0.813,14,12,26,4,0,6,20,17,63,31
heardga01,1980,Gar Heard,PF,31,PHO,8,,223,22,56,0.39299999999999996,0,0,,22,56,0.39299999999999996,0.39299999999999996,11,15,0.733,19,32,51,12,9,11,8,23,55,69
hendege01,1980,Gerald Henderson,PG,24,BOS,9,,101,15,37,0.405,0,2,0.0,15,35,0.429,0.405,12,20,0.6,4,6,10,12,4,0,7,8,42,23
hendeto01,1980,Tom Henderson,PG,28,HOU,7,,203,22,46,0.478,0,1,0.0,22,45,0.489,0.478,12,15,0.8,5,11,16,42,7,4,11,19,56,68
highjo01,1980,Johnny High,PG,22,PHO,8,,120,12,31,0.387,0,2,0.0,12,29,0.414,0.387,8,16,0.5,10,15,25,20,6,2,7,20,32,31
hillar01,1980,Armond Hill,PG,26,ATL,5,,109,12,30,0.4,0,1,0.0,12,29,0.414,0.4,11,12,0.917,2,4,6,15,4,1,11,14,35,17
hollabr01,1980,Brad Holland,SG,23,LAL,9,,32,5,10,0.5,0,0,,5,10,0.5,0.5,4,4,1.0,2,3,5,3,5,0,3,8,14,11
hollili01,1980,Lionel Hollins,SG,26,PHI,18,,618,97,233,0.41600000000000004,0,10,0.0,97,223,0.435,0.41600000000000004,54,68,0.794,17,54,71,113,27,3,46,49,248,217
johnsde01,1980,Dennis Johnson,SG,25,SEA,15,,582,100,244,0.41,5,15,0.33299999999999996,95,229,0.415,0.42,52,62,0.8390000000000001,25,39,64,57,27,10,43,48,257,170
johnsed02,1980,Eddie Johnson,SG,24,ATL,5,,188,38,74,0.514,0,0,,38,74,0.514,0.514,21,28,0.75,3,15,18,21,8,2,11,12,97,80
johnsjo01,1980,John Johnson,SF,32,SEA,15,,486,78,158,0.494,0,1,0.0,78,157,0.49700000000000005,0.494,30,37,0.8109999999999999,44,58,102,85,8,3,56,45,186,196
johnsma02,1980,Magic Johnson,SG,20,LAL,16,,658,103,199,0.518,2,8,0.25,101,191,0.529,0.523,85,106,0.802,52,116,168,151,49,6,65,47,293,438
johnsma01,1980,Marques Johnson,SF,23,MIL,7,,303,54,128,0.42200000000000004,1,3,0.33299999999999996,53,125,0.424,0.426,30,40,0.75,17,31,48,20,5,6,8,20,139,106
johnsvi01,1980,Vinnie Johnson,SG,23,SEA,5,,12,1,3,0.33299999999999996,0,0,,1,3,0.33299999999999996,0.33299999999999996,0,0,,0,2,2,2,1,0,0,1,2,4
jonesbo01,1980,Bobby Jones,PF,28,PHI,18,,470,90,172,0.523,0,1,0.0,90,171,0.526,0.523,53,62,0.855,29,57,86,31,21,32,23,56,233,233
jonesca01,1980,Caldwell Jones,C,29,PHI,18,,639,58,129,0.45,0,3,0.0,58,126,0.46,0.45,42,52,0.8079999999999999,50,135,185,34,13,37,37,75,158,234
jonesma01,1980,Major Jones,PF,26,HOU,6,,70,11,18,0.611,0,0,,11,18,0.611,0.611,6,9,0.667,8,14,22,4,0,2,4,8,28,34
judkije01,1980,Jeff Judkins,SF,23,BOS,7,,10,4,8,0.5,1,3,0.33299999999999996,3,5,0.6,0.563,0,0,,3,1,4,0,1,0,0,0,9,10
kelleri01,1980,Rich Kelley,C,26,PHO,8,,146,19,44,0.43200000000000005,0,1,0.0,19,43,0.442,0.43200000000000005,9,10,0.9,14,22,36,22,9,7,10,17,47,68
kenonla01,1980,Larry Kenon,PF,27,SAS,3,,81,10,34,0.294,0,0,,10,34,0.294,0.294,6,11,0.545,6,7,13,4,0,0,5,6,26,3
kingre01,1980,Reggie King,PF,22,KCK,3,,77,10,21,0.47600000000000003,0,0,,10,21,0.47600000000000003,0.47600000000000003,5,9,0.556,7,18,25,4,1,0,2,10,25,28
laceysa01,1980,Sam Lacey,C,31,KCK,3,,101,8,21,0.381,1,1,1.0,7,20,0.35,0.405,3,4,0.75,6,16,22,13,7,2,8,11,20,31
lagarto01,1980,Tom LaGarde,C,24,SEA,14,,163,17,46,0.37,0,0,,17,46,0.37,0.37,9,11,0.818,13,27,40,12,2,0,7,25,43,34
landsma01,1980,Mark Landsberger,C,24,LAL,16,,195,25,69,0.36200000000000004,0,1,0.0,25,68,0.368,0.36200000000000004,5,6,0.833,25,44,69,2,3,2,10,35,55,41
laniebo01,1980,Bob Lanier,C,31,MIL,7,,256,52,101,0.515,0,0,,52,101,0.515,0.515,31,42,0.738,17,48,65,31,7,8,17,23,135,146
leaveal01,1980,Allen Leavell,PG,22,HOU,7,,149,10,38,0.263,0,4,0.0,10,34,0.294,0.263,19,21,0.905,2,10,12,24,6,0,6,12,39,33
leebu01,1980,Butch Lee,PG,23,LAL,3,,6,0,0,,0,0,,0,0,,,2,2,1.0,0,1,1,0,0,0,3,2,2,-2
malonmo01,1980,Moses Malone,C,24,HOU,7,,275,74,138,0.536,0,1,0.0,74,137,0.54,0.536,33,43,0.767,42,55,97,7,4,16,22,18,181,191
maravpe01,1980,Pete Maravich,SG,32,BOS,9,,104,25,51,0.49,2,6,0.33299999999999996,23,45,0.511,0.51,2,3,0.667,0,8,8,6,3,0,9,12,54,23
maxwece01,1980,Cedric Maxwell,SF,24,BOS,9,,320,59,93,0.634,0,0,,59,93,0.634,0.634,46,61,0.754,31,59,90,19,5,10,22,25,164,192
mcelrji01,1980,Jim McElroy,PG,26,ATL,5,,32,4,9,0.444,0,1,0.0,4,8,0.5,0.444,4,5,0.8,1,1,2,4,0,0,2,1,12,9
mckinbi01,1980,Billy McKinney,PG,24,KCK,3,,34,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,2,1,3,8,0,0,3,2,4,7
meyerda01,1980,Dave Meyers,PF,26,MIL,7,,195,26,62,0.419,0,3,0.0,26,59,0.441,0.419,14,30,0.467,16,19,35,14,9,6,15,25,66,38
mixst01,1980,Steve Mix,SF,32,PHI,17,,200,44,96,0.45799999999999996,0,0,,44,96,0.45799999999999996,0.45799999999999996,25,28,0.893,10,21,31,13,8,5,15,22,113,78
moncrsi01,1980,Sidney Moncrief,SG,22,MIL,7,,182,30,51,0.588,0,0,,30,51,0.588,0.588,27,31,0.871,17,14,31,11,5,1,14,14,87,82
murphca01,1980,Calvin Murphy,SG,31,HOU,7,,265,58,108,0.537,2,4,0.5,56,104,0.5379999999999999,0.546,13,13,1.0,4,6,10,26,11,0,16,29,131,83
nattca01,1980,Calvin Natt,SF,23,POR,3,,125,21,48,0.43799999999999994,0,2,0.0,21,46,0.457,0.43799999999999994,6,10,0.6,9,15,24,2,2,1,10,7,48,29
nixonno01,1980,Norm Nixon,PG,24,LAL,16,,648,114,239,0.47700000000000004,1,5,0.2,113,234,0.483,0.479,41,51,0.804,13,43,56,125,32,3,49,59,270,243
olberma01,1980,Mark Olberding,SF,23,SAS,3,,97,13,23,0.565,0,0,,13,23,0.565,0.565,3,4,0.75,5,17,22,11,2,1,3,14,29,37
owensto01,1980,Tom Owens,C,30,POR,3,,83,14,26,0.5379999999999999,0,0,,14,26,0.5379999999999999,0.5379999999999999,5,8,0.625,13,8,21,2,1,2,5,14,33,25
paultbi01,1980,Billy Paultz,C,31,HOU,7,,128,13,40,0.325,0,0,,13,40,0.325,0.325,4,7,0.5710000000000001,12,21,33,8,1,3,11,13,30,21
paxsoji02,1980,Jim Paxson,SG,22,POR,3,,44,5,16,0.313,0,0,,5,16,0.313,0.313,6,6,1.0,0,4,4,3,2,1,2,2,16,11
peckwi01,1980,Wiley Peck,SF,22,SAS,2,,9,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,0,3,3,0,0,1,0,1,0,0
pellosa01,1980,Sam Pellom,PF,28,ATL,4,,18,0,3,0.0,0,0,,0,3,0.0,0.0,1,3,0.33299999999999996,0,0,0,1,0,1,0,3,1,-5
porteke01,1980,Kevin Porter,PG,29,WSB,2,,49,7,16,0.43799999999999994,0,1,0.0,7,15,0.467,0.43799999999999994,2,5,0.4,2,0,2,9,3,0,4,7,16,7
reidro01,1980,Robert Reid,SF,24,HOU,7,,266,52,102,0.51,0,1,0.0,52,101,0.515,0.51,22,26,0.846,14,41,55,26,6,7,19,28,126,119
restake01,1980,Kevin Restani,SF,28,SAS,3,,74,17,28,0.607,0,1,0.0,17,27,0.63,0.607,4,9,0.444,8,8,16,3,0,1,2,8,38,32
richacl01,1980,Clint Richardson,SG,23,PHI,3,,3,1,3,0.33299999999999996,0,2,0.0,1,1,1.0,0.33299999999999996,0,0,,0,0,0,0,1,0,1,0,2,0
